DATE,EXP_YEAR,EXP_MONTH,TYPE,STRIKE,PRICE,MATURITY,TTM,IMP_VOL
2014-03-31,2014,4,C,1.0,16.85,2014-04-18,0.049,
2014-03-31,2014,4,C,2.0,15.85,2014-04-18,0.049,
2014-03-31,2014,4,C,3.0,14.85,2014-04-18,0.049,
2014-03-31,2014,4,C,4.0,13.85,2014-04-18,0.049,
2014-03-31,2014,4,C,5.0,12.85,2014-04-18,0.049,
2014-03-31,2014,4,C,6.0,11.85,2014-04-18,0.049,
2014-03-31,2014,4,C,7.0,10.85,2014-04-18,0.049,
2014-03-31,2014,4,C,8.0,9.85,2014-04-18,0.049,
2014-03-31,2014,4,C,9.0,8.85,2014-04-18,0.049,
2014-03-31,2014,4,C,10.0,7.85,2014-04-18,0.049,
2014-03-31,2014,4,C,11.0,6.85,2014-04-18,0.049,
2014-03-31,2014,4,C,12.0,5.85,2014-04-18,0.049,
2014-03-31,2014,4,C,13.0,4.85,2014-04-18,0.049,1.0971839226063214
2014-03-31,2014,4,C,14.0,3.85,2014-04-18,0.049,0.8895810625128185
2014-03-31,2014,4,C,15.0,2.9,2014-04-18,0.049,0.7486303230005156
2014-03-31,2014,4,C,16.0,2.0,2014-04-18,0.049,0.6309583865740531
2014-03-31,2014,4,C,17.0,1.35,2014-04-18,0.049,0.639296777343457
2014-03-31,2014,4,C,18.0,0.95,2014-04-18,0.049,0.7032076213065562
2014-03-31,2014,4,C,19.0,0.7,2014-04-18,0.049,0.7756292229100641
2014-03-31,2014,4,C,20.0,0.5,2014-04-18,0.049,0.8188127709411833
2014-03-31,2014,4,C,21.0,0.4,2014-04-18,0.049,0.8924944424311644
2014-03-31,2014,4,C,22.0,0.35,2014-04-18,0.049,0.9815509126122693
2014-03-31,2014,4,C,23.0,0.25,2014-04-18,0.049,0.9951240826898207
2014-03-31,2014,4,C,24.0,0.25,2014-04-18,0.049,
2014-03-31,2014,4,C,25.0,0.2,2014-04-18,0.049,
2014-03-31,2014,4,C,26.0,0.15,2014-04-18,0.049,
2014-03-31,2014,4,C,27.0,0.15,2014-04-18,0.049,
2014-03-31,2014,4,C,28.0,0.15,2014-04-18,0.049,
2014-03-31,2014,4,C,29.0,0.1,2014-04-18,0.049,
2014-03-31,2014,4,C,30.0,0.1,2014-04-18,0.049,
2014-03-31,2014,4,C,32.5,0.05,2014-04-18,0.049,
2014-03-31,2014,4,C,35.0,0.05,2014-04-18,0.049,
2014-03-31,2014,4,C,37.5,0.05,2014-04-18,0.049,
2014-03-31,2014,4,C,40.0,0.05,2014-04-18,0.049,
2014-03-31,2014,4,C,42.5,0.05,2014-04-18,0.049,
2014-03-31,2014,4,C,45.0,0.05,2014-04-18,0.049,
2014-03-31,2014,4,C,47.5,0.05,2014-04-18,0.049,
2014-03-31,2014,4,C,50.0,0.05,2014-04-18,0.049,
2014-03-31,2014,4,C,55.0,0.05,2014-04-18,0.049,
2014-03-31,2014,4,C,60.0,0.05,2014-04-18,0.049,
2014-03-31,2014,4,C,65.0,0.05,2014-04-18,0.049,
2014-03-31,2014,4,C,70.0,0.05,2014-04-18,0.049,
2014-03-31,2014,4,C,75.0,0.05,2014-04-18,0.049,
2014-03-31,2014,4,C,80.0,0.05,2014-04-18,0.049,
2014-03-31,2014,4,C,85.0,0.05,2014-04-18,0.049,
2014-03-31,2014,4,C,90.0,0.05,2014-04-18,0.049,
2014-03-31,2014,4,C,95.0,0.05,2014-04-18,0.049,
2014-03-31,2014,4,C,100.0,0.05,2014-04-18,0.049,
2014-03-31,2014,4,C,105.0,0.05,2014-04-18,0.049,
2014-03-31,2014,5,C,1.0,18.55,2014-05-16,0.126,
2014-03-31,2014,5,C,2.0,17.55,2014-05-16,0.126,
2014-03-31,2014,5,C,3.0,16.55,2014-05-16,0.126,
2014-03-31,2014,5,C,4.0,15.55,2014-05-16,0.126,
2014-03-31,2014,5,C,5.0,14.55,2014-05-16,0.126,
2014-03-31,2014,5,C,6.0,13.55,2014-05-16,0.126,
2014-03-31,2014,5,C,7.0,12.55,2014-05-16,0.126,
2014-03-31,2014,5,C,8.0,11.55,2014-05-16,0.126,
2014-03-31,2014,5,C,9.0,10.55,2014-05-16,0.126,
2014-03-31,2014,5,C,10.0,9.55,2014-05-16,0.126,
2014-03-31,2014,5,C,11.0,8.55,2014-05-16,0.126,
2014-03-31,2014,5,C,12.0,7.55,2014-05-16,0.126,
2014-03-31,2014,5,C,13.0,6.55,2014-05-16,0.126,
2014-03-31,2014,5,C,14.0,5.55,2014-05-16,0.126,1.5417372390125998
2014-03-31,2014,5,C,15.0,4.55,2014-05-16,0.126,1.3219484142707512
2014-03-31,2014,5,C,16.0,3.65,2014-05-16,0.126,1.1531271336601525
2014-03-31,2014,5,C,17.0,2.9,2014-05-16,0.126,1.0426629526397546
2014-03-31,2014,5,C,18.0,2.35,2014-05-16,0.126,0.9972870438963842
2014-03-31,2014,5,C,19.0,1.9,2014-05-16,0.126,0.9694075148588798
2014-03-31,2014,5,C,20.0,1.55,2014-05-16,0.126,0.9588814536400355
2014-03-31,2014,5,C,21.0,1.3,2014-05-16,0.126,0.9685356109724743
2014-03-31,2014,5,C,22.0,1.1,2014-05-16,0.126,0.9816957757701675
2014-03-31,2014,5,C,23.0,0.95,2014-05-16,0.126,1.0021471897522112
2014-03-31,2014,5,C,24.0,0.8,2014-05-16,0.126,1.0093416810042966
2014-03-31,2014,5,C,25.0,0.7,2014-05-16,0.126,1.0299312294404188
2014-03-31,2014,5,C,26.0,0.6,2014-05-16,0.126,
2014-03-31,2014,5,C,27.0,0.5,2014-05-16,0.126,
2014-03-31,2014,5,C,28.0,0.45,2014-05-16,0.126,
2014-03-31,2014,5,C,29.0,0.4,2014-05-16,0.126,
2014-03-31,2014,5,C,30.0,0.35,2014-05-16,0.126,
2014-03-31,2014,5,C,32.5,0.25,2014-05-16,0.126,
2014-03-31,2014,5,C,35.0,0.2,2014-05-16,0.126,
2014-03-31,2014,5,C,37.5,0.15,2014-05-16,0.126,
2014-03-31,2014,5,C,40.0,0.1,2014-05-16,0.126,
2014-03-31,2014,5,C,42.5,0.1,2014-05-16,0.126,
2014-03-31,2014,5,C,45.0,0.05,2014-05-16,0.126,
2014-03-31,2014,5,C,47.5,0.05,2014-05-16,0.126,
2014-03-31,2014,5,C,50.0,0.05,2014-05-16,0.126,
2014-03-31,2014,5,C,55.0,0.05,2014-05-16,0.126,
2014-03-31,2014,5,C,60.0,0.05,2014-05-16,0.126,
2014-03-31,2014,5,C,65.0,0.05,2014-05-16,0.126,
2014-03-31,2014,5,C,70.0,0.05,2014-05-16,0.126,
2014-03-31,2014,5,C,75.0,0.05,2014-05-16,0.126,
2014-03-31,2014,5,C,80.0,0.05,2014-05-16,0.126,
2014-03-31,2014,5,C,85.0,0.05,2014-05-16,0.126,
2014-03-31,2014,5,C,90.0,0.05,2014-05-16,0.126,
2014-03-31,2014,5,C,95.0,0.05,2014-05-16,0.126,
2014-03-31,2014,5,C,100.0,0.05,2014-05-16,0.126,
2014-03-31,2014,5,C,105.0,0.05,2014-05-16,0.126,
2014-03-31,2014,6,C,1.0,18.95,2014-06-20,0.222,
2014-03-31,2014,6,C,2.0,17.95,2014-06-20,0.222,
2014-03-31,2014,6,C,3.0,16.95,2014-06-20,0.222,
2014-03-31,2014,6,C,4.0,15.95,2014-06-20,0.222,
